bc11	5	[004]	[004_001]	Loại 1	1_5_004	00:00:10:29	bc11_5_004_004_001.avi
bc6	5	[027]	[002]		6_5_027	00:00:08:02	bc6_5_027_002.avi
bc6	5	[027]	[003]		6_5_027	00:00:10:08	bc6_5_027_003.avi
bc6	5	[027]	[004]		6_5_027	00:00:14:24	bc6_5_027_004.avi
bc6	5	[027]	[005]		6_5_027	00:00:21:18	bc6_5_027_005.avi
bc7	3	[20]	[001]	Loại 1	7_3_20	00:00:06:01	bc7_3_20_001.avi
bc7	7	[1690]	[001]	Loại 1	7_7_1690	00:00:00:00	bc7_7_1690_001.avi
bc7	7	[1690]	[002]	Loại 1	7_7_1690	00:00:02:09	bc7_7_1690_002.avi
bc7	7	[1690]	[003]	Loại 1	7_7_1690	00:00:05:21	bc7_7_1690_003.avi
bc7	7	[1690]	[004]	Loại 1	7_7_1690	00:00:17:00	bc7_7_1690_004.avi
bc7	7	[1690]	[005]	Loại 1	7_7_1690	00:00:20:00	bc7_7_1690_005.avi
bc7	7	[1690]	[006]	Loại 1	7_7_1690	00:00:23:13	bc7_7_1690_006.avi
bc7	7	[1690]	[007]	Loại 1	7_7_1690	00:00:27:24	bc7_7_1690_007.avi
bc7	7	[1690]	[008]	Loại 1	7_7_1690	00:00:31:29	bc7_7_1690_008.avi
bc7	7	[1690]	[009]	Loại 1	7_7_1690	00:00:36:02	bc7_7_1690_009.avi
bc7	7	[1690]	[010]	Loại 1	7_7_1690	00:00:39:05	bc7_7_1690_010.avi
bc7	7	[1690]	[011]	Loại 1	7_7_1690	00:00:41:28	bc7_7_1690_011.avi
bc7	7	[1690]	[012]	Loại 1	7_7_1690	00:00:45:14	bc7_7_1690_012.avi
bc7	7	[1690]	[013]	Loại 1	7_7_1690	00:00:51:20	bc7_7_1690_013.avi
bc7	7	[1690]	[014]	Loại 1	7_7_1690	00:00:55:07	bc7_7_1690_014.avi
bc7	7	[1690]	[015]	Loại 1	7_7_1690	00:00:57:19	bc7_7_1690_015.avi
bc7	7	[1690]	[016]	Loại 1	7_7_1690	00:01:04:25	bc7_7_1690_016.avi
bc7	7	[1692]	[003]	Loại 1	7_7_1692	00:00:09:13	bc7_7_1692_003.avi
bc7	7	[1692]	[005]	Loại 1	7_7_1692	00:00:21:28	bc7_7_1692_005.avi
bc7	7	[1692]	[009]	Loại 1	7_7_1692	00:00:41:01	bc7_7_1692_009.avi
bc7	7	[1692]	[010]	Loại 1	7_7_1692	00:00:45:05	bc7_7_1692_010.avi
bc7	7	[1692]	[011]	Loại 1	7_7_1692	00:00:52:27	bc7_7_1692_011.avi
bc7	7	[1692]	[012]	Loại 1	7_7_1692	00:00:56:24	bc7_7_1692_012.avi
bc7	7	[1692]	[013]	Loại 1	7_7_1692	00:01:00:28	bc7_7_1692_013.avi
bc7	7	[1692]	[014]	Loại 1	7_7_1692	00:01:06:07	bc7_7_1692_014.avi
bc7	7	[1692]	[018]	Loại 1	7_7_1692	00:01:31:16	bc7_7_1692_018.avi
bc7	7	[1693]	[001]	Loại 1	7_7_1693	00:00:00:00	bc7_7_1693_001.avi
bc7	7	[1693]	[002]	Loại 1	7_7_1693	00:00:02:11	bc7_7_1693_002.avi
bc7	7	[1693]	[003]	Loại 1	7_7_1693	00:00:08:23	bc7_7_1693_003.avi
bc7	7	[1693]	[005]	Loại 1	7_7_1693	00:00:14:22	bc7_7_1693_005.avi
bc7	7	[1693]	[006]	Loại 1	7_7_1693	00:00:18:05	bc7_7_1693_006.avi
bc7	7	[1693]	[007]	Loại 1	7_7_1693	00:00:22:21	bc7_7_1693_007.avi
bc7	7	[1693]	[008]	Loại 1	7_7_1693	00:00:28:17	bc7_7_1693_008.avi
bc7	7	[1693]	[009]	Loại 1	7_7_1693	00:00:36:25	bc7_7_1693_009.avi
bc7	7	[1693]	[010]	Loại 1	7_7_1693	00:00:44:21	bc7_7_1693_010.avi
bc7	7	[1693]	[011]	Loại 1	7_7_1693	00:00:49:29	bc7_7_1693_011.avi
bc7	7	[1693]	[012]	Loại 1	7_7_1693	00:00:53:26	bc7_7_1693_012.avi
bc7	7	[1693]	[013]	Loại 1	7_7_1693	00:00:59:25	bc7_7_1693_013.avi
bc7	7	[1694]	[001]	Loại 1	7_7_1694	00:00:00:00	bc7_7_1694_001.avi
bc7	7	[1694]	[003]	Loại 1	7_7_1694	00:00:10:10	bc7_7_1694_003.avi
bc7	7	[1694]	[004]	Loại 1	7_7_1694	00:00:15:03	bc7_7_1694_004.avi
bc7	7	[1694]	[005]	Loại 1	7_7_1694	00:00:19:22	bc7_7_1694_005.avi
bc7	7	[1694]	[006]	Loại 1	7_7_1694	00:00:24:23	bc7_7_1694_006.avi
bc7	7	[1694]	[009]	Loại 1	7_7_1694	00:00:45:22	bc7_7_1694_009.avi
bc7	7	[1805]	[001]	Loại 1	7_7_1805	00:00:00:00	bc7_7_1805_001.avi
bc7	7	[1806]	[009]	Loại 1	7_7_1806	00:00:35:22	bc7_7_1806_009.avi
bc7	7	[1806]	[010]	Loại 1	7_7_1806	00:00:43:06	bc7_7_1806_010.avi
bc7	7	[1806]	[011]	Loại 1	7_7_1806	00:00:48:13	bc7_7_1806_011.avi
bc7	7	[1806]	[013]	Loại 1	7_7_1806	00:00:58:00	bc7_7_1806_013.avi
bc8	1	[035]	[001]	loại 1	8_1_035	00:00:34:22	bc8_1_035_001.avi
bc8	1	[035]	[002]	loại 1	8_1_035	00:00:58:13	bc8_1_035_002.avi
bc8	4	[023]	[004]		8_4_023	00:00:27:24	bc8_4_023_004.avi
bc8	4	[024]	[001]		8_4_024	00:00:02:03	bc8_4_024_001.avi
bc8	4	[024]	[002]		8_4_024	00:00:10:17	bc8_4_024_002.avi
bc8	4	[024]	[003]		8_4_024	00:00:20:08	bc8_4_024_003.avi
bc8	4	[024]	[004]		8_4_024	00:00:35:23	bc8_4_024_004.avi
bc8	4	[025]	[001]		8_4_025	00:00:01:03	bc8_4_025_001.avi
bc8	4	[025]	[002]		8_4_025	00:00:05:02	bc8_4_025_002.avi
bc8	4	[025]	[003]		8_4_025	00:00:06:22	bc8_4_025_003.avi
bc8	4	[025]	[004]		8_4_025	00:00:11:17	bc8_4_025_004.avi
bc8	4	[025]	[005]		8_4_025	00:00:18:02	bc8_4_025_005.avi
bc8	7	[019]	[003]		8_7_019	00:00:08:06	bc8_7_019_003.avi
bc8	7	[019]	[004]		8_7_019	00:00:12:07	bc8_7_019_004.avi
bc8	7	[019]	[005]		8_7_019	00:00:15:08	bc8_7_019_005.avi
bc8	7	[019]	[006]		8_7_019	00:00:18:17	bc8_7_019_006.avi
bc8	7	[019]	[007]		8_7_019	00:00:23:12	bc8_7_019_007.avi
bc8	7	[019]	[008]		8_7_019	00:00:26:11	bc8_7_019_008.avi
bc8	7	[019]	[010]		8_7_019	00:00:38:21	bc8_7_019_010.avi
bc8	7	[020]	[001]		8_7_020	00:00:06:09	bc8_7_020_001.avi
bc8	7	[020]	[002]		8_7_020	00:00:14:11	bc8_7_020_002.avi
bc8	7	[020]	[003]		8_7_020	00:00:18:03	bc8_7_020_003.avi
bc8	7	[020]	[004]		8_7_020	00:00:22:03	bc8_7_020_004.avi
bc8	7	[020]	[005]		8_7_020	00:00:26:05	bc8_7_020_005.avi
bc8	7	[020]	[006]		8_7_020	00:00:35:15	bc8_7_020_006.avi
bc8	7	[020]	[007]		8_7_020	00:00:38:23	bc8_7_020_007.avi
bc8	7	[021]	[005]		8_7_021	00:00:17:22	bc8_7_021_005.avi
bc8	7	[021]	[007]		8_7_021	00:00:28:24	bc8_7_021_007.avi
bc9	4	[20]	[001]	Loại 1	9_4_20	00:00:08:08	bc9_4_20_001.avi
bc9	5	[09]	[001]	Loại 1	9_5_09	00:00:03:27	bc9_5_09_001.avi
bc9	5	[14]	[001]	Loại 1	9_5_14	00:00:00:00	bc9_5_14_001.avi
bc9	5	[14]	[002]	Loại 1	9_5_14	00:00:04:23	bc9_5_14_002.avi
bc9	5	[14]	[003]	Loại 1	9_5_14	00:00:06:27	bc9_5_14_003.avi
bc9	5	[14]	[004]	Loại 1	9_5_14	00:00:11:11	bc9_5_14_004.avi
bc9	5	[14]	[005]	Loại 1	9_5_14	00:00:18:26	bc9_5_14_005.avi
cq1	1	[129]	[001]	Loai 1	1_1_129	00:00:06:11	cq1_1_129_001.avi
cq2	1	[019]	[001]		2_1_019	00:00:45:02	cq2_1_019_001.avi
cq6	2	[015]	[001]	Loại 2	6_2_015	00:04:39:07	cq6_2_015_001.avi
cq6	2	[015]	[003]	Loại 2	6_2_015	00:04:43:19	cq6_2_015_003.avi
cq6	2	[018]	[001]		6_2_018	00:02:04:20	cq6_2_018_001.avi
cq7	7	[1688]	[001]	Loại 2	7_7_1688	00:00:00:00	cq7_7_1688_001.avi
cq7	7	[1688]	[002]	Loại 2	7_7_1688	00:00:01:00	cq7_7_1688_002.avi
cq7	7	[1688]	[003]	Loại 2	7_7_1688	00:00:02:00	cq7_7_1688_003.avi
cq7	7	[1688]	[005]	Loại 2	7_7_1688	00:00:09:10	cq7_7_1688_005.avi
cq7	7	[1688]	[006]	Loại 2	7_7_1688	00:00:19:00	cq7_7_1688_006.avi
cq7	7	[1688]	[007]	Loại 2	7_7_1688	00:00:28:25	cq7_7_1688_007.avi
cq7	7	[1688]	[008]	Loại 2	7_7_1688	00:00:31:00	cq7_7_1688_008.avi
cq7	7	[1688]	[009]	Loại 2	7_7_1688	00:00:50:12	cq7_7_1688_009.avi
cq7	7	[1688]	[010]	Loại 2	7_7_1688	00:01:15:15	cq7_7_1688_010.avi
cq7	7	[1688]	[011]	Loại 2	7_7_1688	00:01:20:07	cq7_7_1688_011.avi
cq7	7	[1688]	[012]	Loại 2	7_7_1688	00:01:23:29	cq7_7_1688_012.avi
cq7	7	[1688]	[013]	Loại 2	7_7_1688	00:01:27:16	cq7_7_1688_013.avi
cq7	7	[1688]	[014]	Loại 2	7_7_1688	00:01:29:20	cq7_7_1688_014.avi
cq7	7	[1688]	[016]	Loại 2	7_7_1688	00:01:35:01	cq7_7_1688_016.avi
cq7	7	[1689]	[001]	Loại 1	7_7_1689	00:00:01:00	cq7_7_1689_001.avi
cq7	7	[1689]	[002]	Loại 1	7_7_1689	00:00:06:29	cq7_7_1689_002.avi
cq7	7	[1689]	[003]	Loại 1	7_7_1689	00:00:10:01	cq7_7_1689_003.avi
cq9	7	[1683]	[001]	Loại 1	9_7_1683	00:00:00:25	cq9_7_1683_001.avi
cq9	7	[1683]	[002]	Loại 1	9_7_1683	00:00:13:05	cq9_7_1683_002.avi
cq9	7	[1683]	[003]	Loại 1	9_7_1683	00:00:27:26	cq9_7_1683_003.avi
cq9	7	[1683]	[004]	Loại 1	9_7_1683	00:00:43:21	cq9_7_1683_004.avi
cq9	7	[1683]	[005]	Loại 1	9_7_1683	00:01:09:20	cq9_7_1683_005.avi
cq9	7	[1683]	[006]	Loại 1	9_7_1683	00:01:39:28	cq9_7_1683_006.avi
cq9	7	[1683]	[008]	Loại 1	9_7_1683	00:02:13:25	cq9_7_1683_008.avi
cq9	7	[1684]	[001]	Loại 1	9_7_1684	00:00:10:11	cq9_7_1684_001.avi
cq9	7	[1684]	[002]	Loại 1	9_7_1684	00:00:19:05	cq9_7_1684_002.avi
cq9	7	[1684]	[003]	Loại 1	9_7_1684	00:00:28:03	cq9_7_1684_003.avi
cq9	7	[1684]	[005]	Loại 1	9_7_1684	00:00:51:11	cq9_7_1684_005.avi
da1	1	[111]	[002]	Loai 1	1_1_111	00:00:29:15	da1_1_111_002.avi
da1	1	[129]	[002]	Loai 1	1_1_129	00:00:03:23	da1_1_129_002.avi
da1	4	[002]	[001]	Loai 1	1_4_002	00:00:33:21	da1_4_002_001.avi
da1	4	[002]	[003]	Loai 1	1_4_002	00:01:28:17	da1_4_002_003.avi
da1	4	[005]	[001]	Loai 1	1_4_005	00:01:01:20	da1_4_005_001.avi
da1	4	[005]	[002]	Loai 1	1_4_005	00:01:17:13	da1_4_005_002.avi
da1	4	[007]	[001]	Loai 1	1_4_007	00:01:50:16	da1_4_007_001.avi
da1	4	[007]	[004]	Loai 1	1_4_007	00:04:03:01	da1_4_007_004.avi
da1	4	[007]	[005]	Loai 1	1_4_007	00:04:06:21	da1_4_007_005.avi
da1	4	[008]	[001]	Loai 1	1_4_008	00:00:14:14	da1_4_008_001.avi
da1	7	[1808]	[001]		1_7_1808	00:00:02:12	da1_7_1808_001.avi
da1	7	[1808]	[002]		1_7_1808	00:00:04:19	da1_7_1808_002.avi
da1	7	[1808]	[003]		1_7_1808	00:00:06:14	da1_7_1808_003.avi
da1	7	[1808]	[004]		1_7_1808	00:00:08:10	da1_7_1808_004.avi
da1	7	[1808]	[005]		1_7_1808	00:00:10:09	da1_7_1808_005.avi
da1	7	[1808]	[006]		1_7_1808	00:00:12:10	da1_7_1808_006.avi
da1	7	[1808]	[008]		1_7_1808	00:00:18:16	da1_7_1808_008.avi
da1	7	[1808]	[009]		1_7_1808	00:00:20:28	da1_7_1808_009.avi
da1	7	[1808]	[010]		1_7_1808	00:00:23:05	da1_7_1808_010.avi
da1	7	[1808]	[011]		1_7_1808	00:00:27:14	da1_7_1808_011.avi
da1	7	[1808]	[012]		1_7_1808	00:00:29:19	da1_7_1808_012.avi
da1	7	[1808]	[013]		1_7_1808	00:00:31:18	da1_7_1808_013.avi
da1	7	[1808]	[014]		1_7_1808	00:00:37:09	da1_7_1808_014.avi
da1	7	[1808]	[015]		1_7_1808	00:00:40:22	da1_7_1808_015.avi
da1	7	[1808]	[016]		1_7_1808	00:00:43:06	da1_7_1808_016.avi
da1	7	[1808]	[017]		1_7_1808	00:00:46:06	da1_7_1808_017.avi
da1	7	[1808]	[018]		1_7_1808	00:00:48:25	da1_7_1808_018.avi
da1	7	[1808]	[019]		1_7_1808	00:00:51:18	da1_7_1808_019.avi
da1	7	[1808]	[020]		1_7_1808	00:00:55:26	da1_7_1808_020.avi
da1	7	[1808]	[021]		1_7_1808	00:00:58:11	da1_7_1808_021.avi
da1	7	[1808]	[022]		1_7_1808	00:01:01:02	da1_7_1808_022.avi
da1	7	[1809]	[001]		1_7_1809	00:00:01:07	da1_7_1809_001.avi
da1	7	[1809]	[002]		1_7_1809	00:00:03:16	da1_7_1809_002.avi
da1	7	[1809]	[003]		1_7_1809	00:00:06:05	da1_7_1809_003.avi
da1	7	[1809]	[004]		1_7_1809	00:00:08:17	da1_7_1809_004.avi
da1	7	[1809]	[005]		1_7_1809	00:00:10:21	da1_7_1809_005.avi
da1	7	[1809]	[006]		1_7_1809	00:00:13:03	da1_7_1809_006.avi
da1	7	[1809]	[007]		1_7_1809	00:00:15:02	da1_7_1809_007.avi
da1	7	[1809]	[008]		1_7_1809	00:00:17:01	da1_7_1809_008.avi
da1	7	[1809]	[009]		1_7_1809	00:00:25:08	da1_7_1809_009.avi
da1	7	[1809]	[010]		1_7_1809	00:00:27:19	da1_7_1809_010.avi
da1	7	[1809]	[011]		1_7_1809	00:00:29:21	da1_7_1809_011.avi
da1	7	[1809]	[012]		1_7_1809	00:00:32:29	da1_7_1809_012.avi
da1	7	[1809]	[013]		1_7_1809	00:00:34:26	da1_7_1809_013.avi
da1	7	[1809]	[014]		1_7_1809	00:00:36:27	da1_7_1809_014.avi
da1	7	[1809]	[015]		1_7_1809	00:00:39:06	da1_7_1809_015.avi
da1	7	[1809]	[016]		1_7_1809	00:00:42:17	da1_7_1809_016.avi
da1	7	[1809]	[017]		1_7_1809	00:00:45:14	da1_7_1809_017.avi
da1	7	[1809]	[018]		1_7_1809	00:00:47:22	da1_7_1809_018.avi
da1	7	[1809]	[019]		1_7_1809	00:00:50:10	da1_7_1809_019.avi
da1	7	[1809]	[020]		1_7_1809	00:00:53:28	da1_7_1809_020.avi
da1	7	[1809]	[021]		1_7_1809	00:00:57:01	da1_7_1809_021.avi
da1	7	[1809]	[022]		1_7_1809	00:00:58:22	da1_7_1809_022.avi
da1	7	[1809]	[023]		1_7_1809	00:01:00:19	da1_7_1809_023.avi
da1	7	[1809]	[024]		1_7_1809	00:01:02:19	da1_7_1809_024.avi
da1	7	[1809]	[025]		1_7_1809	00:01:04:26	da1_7_1809_025.avi
da1	7	[1809]	[026]		1_7_1809	00:01:06:25	da1_7_1809_026.avi
da1	7	[1809]	[027]		1_7_1809	00:01:09:08	da1_7_1809_027.avi
da1	7	[1809]	[028]		1_7_1809	00:01:12:00	da1_7_1809_028.avi
da1	7	[1810]	[001]		1_7_1810	00:00:01:19	da1_7_1810_001.avi
da1	7	[1810]	[002]		1_7_1810	00:00:03:27	da1_7_1810_002.avi
da1	7	[1810]	[003]		1_7_1810	00:00:06:24	da1_7_1810_003.avi
da1	7	[1810]	[004]		1_7_1810	00:00:09:21	da1_7_1810_004.avi
da1	7	[1810]	[005]		1_7_1810	00:00:13:07	da1_7_1810_005.avi
da1	7	[1810]	[006]		1_7_1810	00:00:17:09	da1_7_1810_006.avi
da1	7	[1810]	[007]		1_7_1810	00:00:20:27	da1_7_1810_007.avi
da1	7	[1810]	[008]		1_7_1810	00:00:24:03	da1_7_1810_008.avi
da1	7	[1810]	[009]		1_7_1810	00:00:27:25	da1_7_1810_009.avi
da1	7	[1810]	[010]		1_7_1810	00:00:31:22	da1_7_1810_010.avi
da1	7	[1810]	[011]		1_7_1810	00:00:35:10	da1_7_1810_011.avi
da1	7	[1810]	[012]		1_7_1810	00:00:38:26	da1_7_1810_012.avi
da1	7	[1810]	[013]		1_7_1810	00:00:42:09	da1_7_1810_013.avi
da1	7	[1810]	[014]		1_7_1810	00:00:45:28	da1_7_1810_014.avi
da1	7	[1810]	[015]		1_7_1810	00:00:48:23	da1_7_1810_015.avi
da1	7	[1810]	[016]		1_7_1810	00:00:52:10	da1_7_1810_016.avi
da1	7	[1810]	[017]		1_7_1810	00:00:54:25	da1_7_1810_017.avi
da1	7	[1810]	[018]		1_7_1810	00:00:59:11	da1_7_1810_018.avi
da1	7	[1810]	[019]		1_7_1810	00:01:03:23	da1_7_1810_019.avi
da1	7	[1810]	[020]		1_7_1810	00:01:06:27	da1_7_1810_020.avi
da1	7	[1810]	[021]		1_7_1810	00:01:10:17	da1_7_1810_021.avi
da1	7	[1810]	[022]		1_7_1810	00:01:13:02	da1_7_1810_022.avi
da1	7	[1810]	[023]		1_7_1810	00:01:15:22	da1_7_1810_023.avi
da1	7	[1810]	[024]		1_7_1810	00:01:18:02	da1_7_1810_024.avi
da1	7	[1810]	[025]		1_7_1810	00:01:20:13	da1_7_1810_025.avi
da1	7	[1810]	[026]		1_7_1810	00:01:22:22	da1_7_1810_026.avi
da1	7	[1810]	[027]		1_7_1810	00:01:25:08	da1_7_1810_027.avi
da1	7	[1810]	[028]		1_7_1810	00:01:27:23	da1_7_1810_028.avi
da1	7	[1810]	[029]		1_7_1810	00:01:30:15	da1_7_1810_029.avi
da1	7	[1810]	[030]		1_7_1810	00:01:33:12	da1_7_1810_030.avi
da1	7	[1810]	[031]		1_7_1810	00:01:37:01	da1_7_1810_031.avi
da1	7	[1810]	[032]		1_7_1810	00:01:39:20	da1_7_1810_032.avi
da1	7	[1811]	[001]		1_7_1811	00:00:01:03	da1_7_1811_001.avi
da1	7	[1811]	[002]		1_7_1811	00:00:03:07	da1_7_1811_002.avi
da1	7	[1811]	[003]		1_7_1811	00:00:05:11	da1_7_1811_003.avi
da1	7	[1811]	[004]		1_7_1811	00:00:08:17	da1_7_1811_004.avi
da1	7	[1811]	[005]		1_7_1811	00:00:21:19	da1_7_1811_005.avi
da1	7	[1811]	[006]		1_7_1811	00:00:23:22	da1_7_1811_006.avi
da1	7	[1811]	[007]		1_7_1811	00:00:25:17	da1_7_1811_007.avi
da1	7	[1811]	[008]		1_7_1811	00:00:26:16	da1_7_1811_008.avi
da1	7	[1811]	[009]		1_7_1811	00:00:27:26	da1_7_1811_009.avi
da1	7	[1811]	[010]		1_7_1811	00:00:30:14	da1_7_1811_010.avi
da1	7	[1811]	[011]		1_7_1811	00:00:31:22	da1_7_1811_011.avi
da1	7	[1811]	[012]		1_7_1811	00:00:34:00	da1_7_1811_012.avi
da1	7	[1811]	[013]		1_7_1811	00:00:35:28	da1_7_1811_013.avi
da1	7	[1811]	[014]		1_7_1811	00:00:37:18	da1_7_1811_014.avi
da1	7	[1811]	[015]		1_7_1811	00:00:39:09	da1_7_1811_015.avi
da1	7	[1811]	[016]		1_7_1811	00:00:41:15	da1_7_1811_016.avi
da1	7	[1811]	[017]		1_7_1811	00:00:43:14	da1_7_1811_017.avi
da1	7	[1811]	[018]		1_7_1811	00:00:45:09	da1_7_1811_018.avi
da1	7	[1811]	[019]		1_7_1811	00:00:51:08	da1_7_1811_019.avi
da1	7	[1811]	[020]		1_7_1811	00:00:54:14	da1_7_1811_020.avi
da1	7	[1811]	[021]		1_7_1811	00:00:58:29	da1_7_1811_021.avi
da1	7	[1811]	[022]		1_7_1811	00:01:00:14	da1_7_1811_022.avi
da1	7	[1811]	[023]		1_7_1811	00:01:03:17	da1_7_1811_023.avi
da1	7	[1811]	[024]		1_7_1811	00:01:05:13	da1_7_1811_024.avi
da1	7	[1811]	[025]		1_7_1811	00:01:07:23	da1_7_1811_025.avi
da1	7	[1811]	[026]		1_7_1811	00:01:09:16	da1_7_1811_026.avi
da1	7	[1811]	[027]		1_7_1811	00:01:11:18	da1_7_1811_027.avi
da1	7	[1811]	[028]		1_7_1811	00:01:13:07	da1_7_1811_028.avi
